Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Ghi rõ các bước khôi phục file đã mã hóa.,SCRUM-56,10109,Story,In Progress,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:07,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gv:,,,,,,,,,,,,,,10030,Viết tài liệu sử dụng WebApp,In Progress,11/25/24 9:06
"Minh họa cách upload file, mã hóa file, và quản lý phiên bản.",SCRUM-55,10108,Story,In Progress,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 8:55,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gn:,,,,,,,,,,,,,,10030,Viết tài liệu sử dụng WebApp,In Progress,11/25/24 9:06
Viết tài liệu hướng dẫn sử dụng WebApp,SCRUM-54,10107,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,11/25/24 9:06,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gf:,,,,,,,,,,,,,10000_*:*_1_*:*_1163675_*|*_10002_*:*_1_*:*_0,10030,Viết tài liệu sử dụng WebApp,Done,11/25/24 9:06
Hướng dẫn build và chạy ứng dụng.,SCRUM-53,10106,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,11/25/24 9:06,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000g7:,,,,,,,,,,,,,10000_*:*_1_*:*_1165477_*|*_10002_*:*_1_*:*_0,10030,Viết tài liệu sử dụng WebApp,Done,11/25/24 9:06
"Hướng dẫn cài đặt Java, Maven, và môi trường phát triển.",SCRUM-52,10105,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,11/25/24 9:06,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fz:,,,,,,,,,,,,,10000_*:*_1_*:*_1167188_*|*_10002_*:*_1_*:*_0,10029,Viết tài liệu hướng dẫn cài đặt môi trường và code,Done,11/25/24 9:06
Viết tài liệu hướng dẫn cài đặt môi trường,SCRUM-51,10104,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,11/25/24 9:06,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fr:,,,,,,,,,,,,,10000_*:*_1_*:*_1168875_*|*_10002_*:*_1_*:*_0,10030,Viết tài liệu sử dụng WebApp,Done,11/25/24 9:06
Báo cáo lỗi và đề xuất giải pháp.,SCRUM-50,10103,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,nguyentrungdubn,712020:af3d382d-3539-477a-bfea-12d9f79d3acf,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,,,,,,,,,,,,10028,Viết báo cáo STD,In Progress,11/25/24 9:06
Kết quả kiểm thử.,SCRUM-49,10102,Story,In Progress,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,,,,,,,,,,,,10028,Viết báo cáo STD,In Progress,11/25/24 9:06
Kịch bản kiểm thử (Test Cases).,SCRUM-48,10101,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,nguyentrungdubn,712020:af3d382d-3539-477a-bfea-12d9f79d3acf,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,,,,,,,,,,,,10028,Viết báo cáo STD,In Progress,11/25/24 9:06
Kiểm thử hệ thống (System Test).,SCRUM-47,10100,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:06,11/25/24 9:08,11/25/24 9:06,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,,,,,,,,,,,10000_*:*_1_*:*_1173376_*|*_10002_*:*_1_*:*_0,10028,Viết báo cáo STD,Done,11/25/24 9:06
